title,price,url
Car seat cover,"₹ 6,000",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-laal-ganesh-guwahati-iid-1816380938
2bhk flat for Sale with covered car parking,"₹ 47,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-980-sq-ft-in-pisoli-pune-iid-1816157623
Car body cover available in wholesale market price,₹ 500,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-periyamet-chennai-iid-1813208782
Newly build 75 Sq yards home with covered car parking,"₹ 33,00,111",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-680-sq-ft-in-dabua-colony-faridabad-iid-1806490193
75 Gaj newly constructed home with covered car parking,"₹ 33,00,001",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-750-sq-ft-in-nangla-gurjan-faridabad-iid-1802577846
Hyundai Aura OE car cover for sale,₹ 700,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-kovilambakkam-raja-nagar-chennai-iid-1818169832
N/A,N/A,N/A
Fully furnished 3 bhk with lift and covered car parking for dispoal,"₹ 1,25,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1470-sq-ft-in-raja-s-c-mullick-road-kolkata-iid-1818066760
2BHK Fully Furnished  with covered car parking near to viman Nagar,"₹ 35,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-850-sq-ft-in-kharadi-pune-iid-1818157904
"Volkswagen Taigun Waterproof Car Body Cover-UV Protection,Heavy Duty.","₹ 2,500",https://www.olx.in/item/other-household-items-c293-volkswagen-taigun-waterproof-car-body-cover-uv-protectionheavy-duty-in-srirampura-stage-2-madhuvana-layout-mysuru-iid-1818152585
107 Gaj home with covered car parking near by main market,"₹ 45,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-900-sq-ft-in-jawahar-colony-faridabad-iid-1789276286
Jack and tata tiago car cover,N/A,https://www.olx.in/item/other-services-c625-jack-and-tata-tiago-car-cover-in-venkateshwara-colony-hyderabad-iid-1817914675
Spacious 2BHK with covered car parking for rent,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-medavakkam-chennai-iid-1818136585
"Back end IT office,10+ seat, covered car parking, DG, Kakkanad,EKM","₹ 25,000",https://www.olx.in/item/for-rent-shops-offices-c1731-950-sq-ft-in-padivattom-kochi-iid-1817273548
Covered car parking space for rent,"₹ 3,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-apartments-300-sq-ft-in-arumbakkam-chennai-iid-1818127163
"IT back end office, kakkanad, covered car n bike parking,lift, D G","₹ 25,000",https://www.olx.in/item/for-rent-shops-offices-c1731-900-sq-ft-in-padivattom-kochi-iid-1801141258
Saligramam 3 BHK Flat for Sale with Covered Car Parking,"₹ 87,74,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1054-sq-ft-in-saligramam-chennai-iid-1815561937
All cars side mirror batman cover abs plastic piano black,"₹ 2,499",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-batman-cover-abs-plastic-piano-black-in-gangtok-private-estate-gangtok-iid-1804943156
All cars side mirror cover batman style abs plastic piano black,"₹ 2,500",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-batman-style-abs-plastic-piano-black-in-anna-nagar-madurai-iid-1802991925
Car Wheel Cover 15 Inch  - 4 Piece,₹ 600,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-kavi-nagar-jila-panchayat-colony-ghaziabad-iid-1816577525
Car accessories seat cover delivery and purchase,N/A,https://www.olx.in/item/delivery-collection-c2205-full-time-in-ayoor-kollam-iid-1818099016
One BHK semi furnished flat with covered car parking,"₹ 7,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-750-sq-ft-in-idpl-colony-rishikesh-iid-1815486549
Autofy 100% waterproof Altroz car cover,"₹ 1,200",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-basavanapura-nr-krishnarajapura-bengaluru-iid-1791569478
2bhk near ponda kendriya vidyalaya for rent with covered car parking,"₹ 17,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-sindhu-nagar-ponda-iid-1816507443
Two bhk wid covered car parking lift in janakpuri nr metro park facing,"₹ 99,30,997",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-960-sq-ft-in-vikaspuri-delhi-iid-1805661816
Car Monsoon Cover,₹ 500,https://www.olx.in/item/spare-parts-c1585-car-monsoon-cover-in-madhurawada-visakhapatnam-iid-1818083314
Nexon car cover,"₹ 2,000",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-hari-enclave-delhi-iid-1817432270
3BHK SUPER SPACIOUS VERY BIG FLAT FOR SALE WITH 2 COVERED CAR PARKING,"₹ 1,99,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1800-sq-ft-in-mira-road-mumbai-iid-1808973820
75 gaj home with covered car parking near sohna road highway,"₹ 33,00,100",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-713-sq-ft-in-jawahar-colony-faridabad-iid-1787652614
Car seat cover,"₹ 1,000",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-vaishali-ghaziabad-iid-1818056285
Hector  Car seat covers,"₹ 3,300",https://www.olx.in/item/spare-parts-c1585-hector-car-seat-covers-in-waterfield-road-bandra-west-mumbai-iid-1817738328
Car cover swift zxi+,"₹ 1,300",https://www.olx.in/item/other-household-items-c293-car-cover-swift-zxi-in-gram-kudi-jodhpur-iid-1818026632
"Back end IT,Media office, covered car, Bike parking,kakkanad,EKM,Kochi","₹ 25,000",https://www.olx.in/item/for-rent-shops-offices-c1731-951-sq-ft-in-vazhakkala-kochi-iid-1818021789
Wheel Cover (Silver)OEM Fits Maruti Cars,"₹ 1,200",https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-edayappuram-aluva-iid-1818020700
"Behala 14no,Covered car parking for rent, 2mins from main road","₹ 5,000",https://www.olx.in/item/for-rent-shops-offices-c1731-100-sq-ft-in-behala-kolkata-iid-1818016966
Specious 3bhk 1200 Carpet with 2 Covered Car Park in Raheja at 3.5Cr+,"₹ 3,50,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1900-sq-ft-in-palm-beach-road-navi-mumbai-iid-1816309659
1.5Bhk Flat With Covered Car Parking at 1.12Cr+ in Nerul East Navi Mum,"₹ 1,12,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-740-sq-ft-in-anushakti-nagar-mumbai-iid-1816309491
Small car cover,₹ 300,https://www.olx.in/item/other-household-items-c293-small-car-cover-in-puthur-chennai-iid-1814312723
2bhk & Covered Car Parking-SALE,"₹ 53,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1000-sq-ft-in-chikhali-pune-iid-1816950892
Maruti Suzuki fronx car cover,"₹ 1,050",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-gulzar-nagar-bareilly-iid-1817978433
"Villas for sale at kovilancheri .Specious design ,covered car parking!","₹ 85,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-1485-sq-ft-in-kovilancheri-chennai-iid-1817541513
Car seat cover,"₹ 6,000",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-laal-ganesh-guwahati-iid-1816380938
2bhk flat for Sale with covered car parking,"₹ 47,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-980-sq-ft-in-pisoli-pune-iid-1816157623
Car body cover available in wholesale market price,₹ 500,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-periyamet-chennai-iid-1813208782
Newly build 75 Sq yards home with covered car parking,"₹ 33,00,111",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-680-sq-ft-in-dabua-colony-faridabad-iid-1806490193
75 Gaj newly constructed home with covered car parking,"₹ 33,00,001",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-750-sq-ft-in-nangla-gurjan-faridabad-iid-1802577846
Hyundai Aura OE car cover for sale,₹ 700,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-kovilambakkam-raja-nagar-chennai-iid-1818169832
N/A,N/A,N/A
Fully furnished 3 bhk with lift and covered car parking for dispoal,"₹ 1,25,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1470-sq-ft-in-raja-s-c-mullick-road-kolkata-iid-1818066760
2BHK Fully Furnished  with covered car parking near to viman Nagar,"₹ 35,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-850-sq-ft-in-kharadi-pune-iid-1818157904
"Volkswagen Taigun Waterproof Car Body Cover-UV Protection,Heavy Duty.","₹ 2,500",https://www.olx.in/item/other-household-items-c293-volkswagen-taigun-waterproof-car-body-cover-uv-protectionheavy-duty-in-srirampura-stage-2-madhuvana-layout-mysuru-iid-1818152585
107 Gaj home with covered car parking near by main market,"₹ 45,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-900-sq-ft-in-jawahar-colony-faridabad-iid-1789276286
Jack and tata tiago car cover,N/A,https://www.olx.in/item/other-services-c625-jack-and-tata-tiago-car-cover-in-venkateshwara-colony-hyderabad-iid-1817914675
Spacious 2BHK with covered car parking for rent,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-medavakkam-chennai-iid-1818136585
"Back end IT office,10+ seat, covered car parking, DG, Kakkanad,EKM","₹ 25,000",https://www.olx.in/item/for-rent-shops-offices-c1731-950-sq-ft-in-padivattom-kochi-iid-1817273548
Covered car parking space for rent,"₹ 3,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-apartments-300-sq-ft-in-arumbakkam-chennai-iid-1818127163
"IT back end office, kakkanad, covered car n bike parking,lift, D G","₹ 25,000",https://www.olx.in/item/for-rent-shops-offices-c1731-900-sq-ft-in-padivattom-kochi-iid-1801141258
Saligramam 3 BHK Flat for Sale with Covered Car Parking,"₹ 87,74,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1054-sq-ft-in-saligramam-chennai-iid-1815561937
All cars side mirror batman cover abs plastic piano black,"₹ 2,499",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-batman-cover-abs-plastic-piano-black-in-gangtok-private-estate-gangtok-iid-1804943156
All cars side mirror cover batman style abs plastic piano black,"₹ 2,500",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-batman-style-abs-plastic-piano-black-in-anna-nagar-madurai-iid-1802991925
Car Wheel Cover 15 Inch  - 4 Piece,₹ 600,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-kavi-nagar-jila-panchayat-colony-ghaziabad-iid-1816577525
Car accessories seat cover delivery and purchase,N/A,https://www.olx.in/item/delivery-collection-c2205-full-time-in-ayoor-kollam-iid-1818099016
One BHK semi furnished flat with covered car parking,"₹ 7,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-750-sq-ft-in-idpl-colony-rishikesh-iid-1815486549
Autofy 100% waterproof Altroz car cover,"₹ 1,200",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-basavanapura-nr-krishnarajapura-bengaluru-iid-1791569478
2bhk near ponda kendriya vidyalaya for rent with covered car parking,"₹ 17,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-sindhu-nagar-ponda-iid-1816507443
Two bhk wid covered car parking lift in janakpuri nr metro park facing,"₹ 99,30,997",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-960-sq-ft-in-vikaspuri-delhi-iid-1805661816
Car Monsoon Cover,₹ 500,https://www.olx.in/item/spare-parts-c1585-car-monsoon-cover-in-madhurawada-visakhapatnam-iid-1818083314
Nexon car cover,"₹ 2,000",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-hari-enclave-delhi-iid-1817432270
3BHK SUPER SPACIOUS VERY BIG FLAT FOR SALE WITH 2 COVERED CAR PARKING,"₹ 1,99,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1800-sq-ft-in-mira-road-mumbai-iid-1808973820
75 gaj home with covered car parking near sohna road highway,"₹ 33,00,100",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-713-sq-ft-in-jawahar-colony-faridabad-iid-1787652614
Car seat cover,"₹ 1,000",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-vaishali-ghaziabad-iid-1818056285
Hector  Car seat covers,"₹ 3,300",https://www.olx.in/item/spare-parts-c1585-hector-car-seat-covers-in-waterfield-road-bandra-west-mumbai-iid-1817738328
Car cover swift zxi+,"₹ 1,300",https://www.olx.in/item/other-household-items-c293-car-cover-swift-zxi-in-gram-kudi-jodhpur-iid-1818026632
"Back end IT,Media office, covered car, Bike parking,kakkanad,EKM,Kochi","₹ 25,000",https://www.olx.in/item/for-rent-shops-offices-c1731-951-sq-ft-in-vazhakkala-kochi-iid-1818021789
Wheel Cover (Silver)OEM Fits Maruti Cars,"₹ 1,200",https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-edayappuram-aluva-iid-1818020700
"Behala 14no,Covered car parking for rent, 2mins from main road","₹ 5,000",https://www.olx.in/item/for-rent-shops-offices-c1731-100-sq-ft-in-behala-kolkata-iid-1818016966
Specious 3bhk 1200 Carpet with 2 Covered Car Park in Raheja at 3.5Cr+,"₹ 3,50,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1900-sq-ft-in-palm-beach-road-navi-mumbai-iid-1816309659
1.5Bhk Flat With Covered Car Parking at 1.12Cr+ in Nerul East Navi Mum,"₹ 1,12,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-740-sq-ft-in-anushakti-nagar-mumbai-iid-1816309491
Small car cover,₹ 300,https://www.olx.in/item/other-household-items-c293-small-car-cover-in-puthur-chennai-iid-1814312723
2bhk & Covered Car Parking-SALE,"₹ 53,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1000-sq-ft-in-chikhali-pune-iid-1816950892
Maruti Suzuki fronx car cover,"₹ 1,050",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-gulzar-nagar-bareilly-iid-1817978433
"Villas for sale at kovilancheri .Specious design ,covered car parking!","₹ 85,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-1485-sq-ft-in-kovilancheri-chennai-iid-1817541513
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
N/A,N/A,N/A
Car seat cover,"₹ 6,000",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-laal-ganesh-guwahati-iid-1816380938
2bhk flat for Sale with covered car parking,"₹ 47,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-980-sq-ft-in-pisoli-pune-iid-1816157623
Car body cover available in wholesale market price,₹ 500,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-periyamet-chennai-iid-1813208782
Newly build 75 Sq yards home with covered car parking,"₹ 33,00,111",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-680-sq-ft-in-dabua-colony-faridabad-iid-1806490193
75 Gaj newly constructed home with covered car parking,"₹ 33,00,001",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-750-sq-ft-in-nangla-gurjan-faridabad-iid-1802577846
Hyundai Aura OE car cover for sale,₹ 700,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-kovilambakkam-raja-nagar-chennai-iid-1818169832
N/A,N/A,N/A
Fully furnished 3 bhk with lift and covered car parking for dispoal,"₹ 1,25,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1470-sq-ft-in-raja-s-c-mullick-road-kolkata-iid-1818066760
2BHK Fully Furnished  with covered car parking near to viman Nagar,"₹ 35,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-850-sq-ft-in-kharadi-pune-iid-1818157904
"Volkswagen Taigun Waterproof Car Body Cover-UV Protection,Heavy Duty.","₹ 2,500",https://www.olx.in/item/other-household-items-c293-volkswagen-taigun-waterproof-car-body-cover-uv-protectionheavy-duty-in-srirampura-stage-2-madhuvana-layout-mysuru-iid-1818152585
107 Gaj home with covered car parking near by main market,"₹ 45,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-900-sq-ft-in-jawahar-colony-faridabad-iid-1789276286
Jack and tata tiago car cover,N/A,https://www.olx.in/item/other-services-c625-jack-and-tata-tiago-car-cover-in-venkateshwara-colony-hyderabad-iid-1817914675
Spacious 2BHK with covered car parking for rent,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-medavakkam-chennai-iid-1818136585
"Back end IT office,10+ seat, covered car parking, DG, Kakkanad,EKM","₹ 25,000",https://www.olx.in/item/for-rent-shops-offices-c1731-950-sq-ft-in-padivattom-kochi-iid-1817273548
Covered car parking space for rent,"₹ 3,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-apartments-300-sq-ft-in-arumbakkam-chennai-iid-1818127163
"IT back end office, kakkanad, covered car n bike parking,lift, D G","₹ 25,000",https://www.olx.in/item/for-rent-shops-offices-c1731-900-sq-ft-in-padivattom-kochi-iid-1801141258
Saligramam 3 BHK Flat for Sale with Covered Car Parking,"₹ 87,74,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1054-sq-ft-in-saligramam-chennai-iid-1815561937
All cars side mirror batman cover abs plastic piano black,"₹ 2,499",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-batman-cover-abs-plastic-piano-black-in-gangtok-private-estate-gangtok-iid-1804943156
All cars side mirror cover batman style abs plastic piano black,"₹ 2,500",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-batman-style-abs-plastic-piano-black-in-anna-nagar-madurai-iid-1802991925
Car Wheel Cover 15 Inch  - 4 Piece,₹ 600,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-kavi-nagar-jila-panchayat-colony-ghaziabad-iid-1816577525
Car accessories seat cover delivery and purchase,N/A,https://www.olx.in/item/delivery-collection-c2205-full-time-in-ayoor-kollam-iid-1818099016
One BHK semi furnished flat with covered car parking,"₹ 7,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-750-sq-ft-in-idpl-colony-rishikesh-iid-1815486549
Autofy 100% waterproof Altroz car cover,"₹ 1,200",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-basavanapura-nr-krishnarajapura-bengaluru-iid-1791569478
2bhk near ponda kendriya vidyalaya for rent with covered car parking,"₹ 17,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-sindhu-nagar-ponda-iid-1816507443
Two bhk wid covered car parking lift in janakpuri nr metro park facing,"₹ 99,30,997",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-960-sq-ft-in-vikaspuri-delhi-iid-1805661816
Car Monsoon Cover,₹ 500,https://www.olx.in/item/spare-parts-c1585-car-monsoon-cover-in-madhurawada-visakhapatnam-iid-1818083314
Nexon car cover,"₹ 2,000",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-hari-enclave-delhi-iid-1817432270
3BHK SUPER SPACIOUS VERY BIG FLAT FOR SALE WITH 2 COVERED CAR PARKING,"₹ 1,99,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1800-sq-ft-in-mira-road-mumbai-iid-1808973820
75 gaj home with covered car parking near sohna road highway,"₹ 33,00,100",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-713-sq-ft-in-jawahar-colony-faridabad-iid-1787652614
Car seat cover,"₹ 1,000",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-vaishali-ghaziabad-iid-1818056285
Hector  Car seat covers,"₹ 3,300",https://www.olx.in/item/spare-parts-c1585-hector-car-seat-covers-in-waterfield-road-bandra-west-mumbai-iid-1817738328
Car cover swift zxi+,"₹ 1,300",https://www.olx.in/item/other-household-items-c293-car-cover-swift-zxi-in-gram-kudi-jodhpur-iid-1818026632
"Back end IT,Media office, covered car, Bike parking,kakkanad,EKM,Kochi","₹ 25,000",https://www.olx.in/item/for-rent-shops-offices-c1731-951-sq-ft-in-vazhakkala-kochi-iid-1818021789
Wheel Cover (Silver)OEM Fits Maruti Cars,"₹ 1,200",https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-edayappuram-aluva-iid-1818020700
"Behala 14no,Covered car parking for rent, 2mins from main road","₹ 5,000",https://www.olx.in/item/for-rent-shops-offices-c1731-100-sq-ft-in-behala-kolkata-iid-1818016966
Specious 3bhk 1200 Carpet with 2 Covered Car Park in Raheja at 3.5Cr+,"₹ 3,50,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1900-sq-ft-in-palm-beach-road-navi-mumbai-iid-1816309659
1.5Bhk Flat With Covered Car Parking at 1.12Cr+ in Nerul East Navi Mum,"₹ 1,12,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-1-bhk-apartments-740-sq-ft-in-anushakti-nagar-mumbai-iid-1816309491
Small car cover,₹ 300,https://www.olx.in/item/other-household-items-c293-small-car-cover-in-puthur-chennai-iid-1814312723
2bhk & Covered Car Parking-SALE,"₹ 53,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1000-sq-ft-in-chikhali-pune-iid-1816950892
Maruti Suzuki fronx car cover,"₹ 1,050",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-gulzar-nagar-bareilly-iid-1817978433
"Villas for sale at kovilancheri .Specious design ,covered car parking!","₹ 85,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-1485-sq-ft-in-kovilancheri-chennai-iid-1817541513
"2BHK 896Sq. ft. flat  with covered car parking,  for sale in Eden Lake","₹ 36,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-896-sq-ft-in-tollygunge-kolkata-iid-1811282616
Baleno Car Body Cover,"₹ 1,200",https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kanakpura-jaipur-iid-1817977216
"4BHK,5 Washroom, North Facing ,2 car Covered parking, AdequatSun light","₹ 85,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-4-bhk-apartments-1916-sq-ft-in-bill-road-vadodara-iid-1816477033
Hyundai Exter Car Cover,₹ 500,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-bagalakunte-bengaluru-iid-1817951090
Ahmed car Matings and seat cover whole sale Distributor,N/A,https://www.olx.in/item/other-services-c625-ahmed-car-matings-and-seat-cover-whole-sale-distributor-in-farooqnagar-hyderabad-iid-1625487590
75 Gaj home with covered car parking,"₹ 33,00,020",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-703-sq-ft-in-jawahar-colony-faridabad-iid-1817077364
"1.5 KM-KINFRA, 5 KM-Techno Park, CC TV, Covered Ample Car& 2W Parking.","₹ 13,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-chanthavila-thiruvananthapuram-iid-1816396942
Car seat cover i 10 balino alto all car seat covers,N/A,https://www.olx.in/item/other-services-c625-car-seat-cover-i-10-balino-alto-all-car-seat-covers-in-garhwali-colony-dehradun-iid-1817943331
Personal covered car parking,"₹ 95,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-2424-sq-ft-in-ace-divino-greater-noida-iid-1792721639
A 5000 SQFT COMMERCIAL OFFICE SPACE WITH COVERED CAR PARK FOR RENT,"₹ 3,00,000",https://www.olx.in/item/for-rent-shops-offices-c1731-5000-sq-ft-in-viman-nagar-pune-iid-1805302317
